"Period","Country","League","Team","Matches Played","BTTS YES %","BTTS NO %"
"Current season","Argentina","Liga Profesional","Estudiantes Rio Cuarto","3","0","100"
"Current season","Argentina","Liga Profesional","Union de Santa Fe","4","0","100"
"Current season","Colombia","Primera A","Chico","4","0","100"
"Current season","Brazil","Serie A Betano","Coritiba","2","0","100"
"Current season","Brazil","Serie A Betano","Botafogo RJ","1","0","100"
"Current season","Europe","Conference League","Omonia","4","0","100"
"Current season","Europe","Conference League","AZ Alkmaar","4","0","100"
"Current season","Europe","Conference League","Shelbourne","3","0","100"
"Current season","Europe","Conference League","SK Rapid","3","0","100"
"Current season","Europe","Conference League","Dyn. Kyiv","3","0","100"
"Current season","Europe","Conference League","AEK Larnaca","3","0","100"
"Current season","USA","MLS","FC Cincinnati","2","0","100"
"Current season","USA","MLS","Chicago Fire","1","0","100"
"Current season","USA","MLS","Los Angeles FC","2","0","100"
"Current season","USA","MLS","San Diego FC","2","0","100"
"Current season","USA","MLS","Toronto FC","0","0","0"
"Current season","USA","MLS","Seattle Sounders","1","0","100"
"Current season","USA","MLS","New York City","1","0","100"
"Current season","USA","MLS","Inter Miami","0","0","0"
"Current season","USA","MLS","Minnesota United","1","0","100"
"Current season","USA","MLS","San Jose Earthquakes","2","0","100"
"Current season","USA","MLS","New England Revolution","0","0","0"
"Current season","USA","MLS","CF Montreal","0","0","0"
"Current season","USA","MLS","Vancouver Whitecaps","2","0","100"
"Current season","USA","MLS","New York Red Bulls","2","0","100"
"Current season","USA","MLS","Columbus Crew","1","0","100"
"Current season","Norway","Eliteserien","Valerenga","0","0","0"
"Current season","Norway","Eliteserien","KFUM Oslo","0","0","0"
"Current season","Norway","Eliteserien","Sarpsborg 08","0","0","0"
"Current season","Norway","Eliteserien","Lillestrom","0","0","0"
"Current season","Norway","Eliteserien","Fredrikstad","0","0","0"
"Current season","Norway","Eliteserien","HamKam","0","0","0"
"Current season","Norway","Eliteserien","Start","0","0","0"
"Current season","Norway","Eliteserien","Viking","0","0","0"
"Current season","Norway","Eliteserien","Brann","0","0","0"
"Current season","Norway","Eliteserien","Bodo/Glimt","0","0","0"
"Current season","Norway","Eliteserien","Aalesund","0","0","0"
"Current season","Norway","Eliteserien","Sandefjord","0","0","0"
"Current season","Norway","Eliteserien","Kristiansund","0","0","0"
"Current season","Norway","Eliteserien","Tromso","0","0","0"
"Current season","Norway","Eliteserien","Rosenborg","0","0","0"
"Current season","Norway","Eliteserien","Molde","0","0","0"
